scenario,strategy,seed,episode_reward,episode_steps,samples,avg_offered_load_mbps,avg_accepted_load_mbps,avg_capacity_mbps,avg_goodput_mbps,avg_queue,final_capacity_mbps,final_goodput_mbps,final_queue,final_blocked_rate,final_blocked_queue_cap_rate,final_blocked_timeout_rate,final_utilization,final_fairness,avg_utilization,avg_fairness,avg_acceptance_rate,avg_service_rate,final_mean_served_delay_s,final_p95_served_delay_s,final_mean_timeout_delay_s
both_ch32,ppo_v4,42,-91.56368687723308,600,600,766.2760178948384,613.862390879217,106.81906302473793,106.59596236078897,59.66833333333334,109.44834134106694,109.44834134106696,73,0.8309623430962343,0.19246861924686193,0.6384937238493724,1.0,0.6726637725716279,0.9983333333333333,0.7163130093809922,0.8240535648905372,0.14453210321633872,14.522658610271904,20.0,20.0
both_ch32,ppo_v4,43,-99.57208421892818,600,600,759.8008368706072,598.807348723662,107.42381936580398,107.22904302075192,59.99666666666667,109.86260932650248,109.86260932650247,62,0.8322502030869212,0.2140536149471974,0.6181965881397238,1.0,0.7172134866045432,0.9998958333333333,0.704813119859984,0.8000126811642028,0.1430844543429338,15.108262108262108,20.0,20.0
both_ch32,ppo_v4,44,-103.1686266403985,600,600,764.4133077715236,611.4123578202142,108.32054000227438,108.044100459972,59.63166666666667,103.8715847741652,103.87158477416519,60,0.8355263157894737,0.20189144736842105,0.6336348684210527,1.0,0.7179094736150642,1.0,0.7086488012600377,0.8132532166545752,0.15864995454396486,13.723529411764705,20.0,20.0
both_ch32,ppo_v4,45,-98.42124273769859,600,600,787.1612102454801,625.4458377412425,107.88708608147925,107.57117589929823,59.52,105.0967728180419,105.0967728180419,61,0.833743842364532,0.2044334975369458,0.6293103448275862,1.0,0.6557324140177221,0.9992708333333333,0.7082385973664098,0.8092735098208695,0.16315714875655418,13.625,20.0,20.0
both_ch32,ppo_v4,46,-94.40964939566287,600,600,752.7792334683929,604.7318631821698,108.00657338775217,107.80733790550374,58.391666666666666,111.40325431064565,111.40325431064565,62,0.8436161096829478,0.19108826049700087,0.6525278491859469,1.0,0.6222741398835508,0.9994791666666667,0.7103965847571271,0.8106724900824289,0.12277605154173567,14.310231023102311,20.0,20.0
both_ch32,ppo_v4,47,-100.74568103822519,600,600,776.7866375396233,627.496622729362,108.32114582045926,108.04700606802888,59.935,107.39126032311113,107.20853569955521,61,0.8504594820384294,0.19423558897243107,0.6562238930659984,1.0,0.6099118964640105,1.0,0.7073570837433988,0.8065450967255626,0.12211218777477763,14.168350168350168,20.0,20.0
both_ch32,ppo_v4,48,-108.47437339107685,600,600,786.1313096884865,629.1668841491421,108.13650260124604,107.88586764432043,60.571666666666665,112.19389445641536,112.19389445641535,56,0.8507831821929102,0.20403957131079967,0.6467436108821105,1.0,0.6749479401544386,0.9982291666666666,0.697917610713082,0.8100615204010979,0.12251864619768414,14.957516339869281,20.0,20.0
both_ch32,ppo_v4,49,-102.30255875957077,600,600,743.3465389769656,597.0750409260804,107.01878710272182,106.66710951301945,60.178333333333335,107.59754756795084,107.59754756795087,65,0.8413621262458472,0.19352159468438537,0.6478405315614618,1.0,0.6529469797841416,1.0,0.7129415900061588,0.8285635030131498,0.14392186105217686,14.220820189274448,20.0,20.0
both_ch32,ppo_v4,50,-101.1515045950558,600,600,778.7999490711376,621.8518104871968,107.14672755123169,106.86771247092202,59.92,113.32757776001404,113.32757776001404,60,0.8371040723981901,0.20937885643767998,0.6277252159605101,1.0,0.6635666254749113,0.9991666666666666,0.7111033734066368,0.8088402088982515,0.14232712039017015,15.148809523809524,20.0,20.0
both_ch32,ppo_v4,51,-106.68190625169359,600,600,770.4303003527792,600.7112988989015,107.94921655279599,107.75339500287994,59.665,105.56210181249351,104.14690795201533,54,0.8499384993849939,0.2119721197211972,0.6379663796637967,1.0,0.6240295636436156,0.9995833333333334,0.6925214293668421,0.8076216296130602,0.1345181151201509,14.301282051282051,20.0,20.0
both_ch64,ppo_v4,42,268.9149921929151,600,600,766.2760178948384,629.0413825814363,210.26346004155224,209.33367775305686,56.638333333333335,210.56014692876926,210.56014692876929,68,0.6895397489539749,0.1707112970711297,0.5188284518828452,1.0,0.6978278077728676,0.9945833333333334,0.7250319584564033,0.8451576874551828,0.26981913521031253,13.568249258160238,20.0,20.0
both_ch64,ppo_v4,43,265.38023373351774,600,600,759.8008368706072,613.7172832185756,211.7849156547268,210.73099689490329,57.156666666666666,210.81797890114956,210.81797890114953,59,0.6949634443541836,0.19049553208773354,0.50446791226645,1.0,0.7577611122520238,0.9973958333333334,0.7225063588472761,0.8241367254193863,0.2828304023763554,13.874277456647398,20.0,20.0
both_ch64,ppo_v4,44,267.67592137415227,600,600,764.4133077715236,628.316576727774,212.7023276758485,211.6853531537887,56.845,206.2351533003918,206.2351533003918,61,0.7027138157894737,0.18338815789473684,0.5193256578947368,1.0,0.7194862096073059,0.99703125,0.7157348231780394,0.8333836061668471,0.2983609130894166,13.40332326283988,20.0,20.0
both_ch64,ppo_v4,45,271.48669076383214,600,600,787.1612102454801,642.0332780856578,212.00816057400453,210.75982048871109,56.63166666666667,211.97230558701372,211.9723055870137,62,0.694991789819376,0.18596059113300492,0.5090311986863711,1.0,0.6766876514242919,0.9971354166666667,0.7298250904327673,0.8303335540088594,0.2949538442827236,13.45374449339207,20.0,20.0
both_ch64,ppo_v4,46,277.00298882212843,600,600,752.7792334683929,621.4588710243207,213.13216073380656,212.26302116131058,55.755,214.7629202656326,214.76292026563257,59,0.6996572407883462,0.16923736075407025,0.5304198800342759,1.0,0.7415866091435437,0.9969791666666666,0.7149580822028974,0.8330667056863487,0.27914464427457303,13.811526479750778,20.0,20.0
both_ch64,ppo_v4,47,262.7395913531769,600,600,776.7866375396233,636.4675412932874,213.49524645816268,212.36175354091583,57.13,215.45166191726986,215.45166191726983,55,0.7176274018379282,0.17878028404344193,0.5388471177944862,1.0,0.7533700026217672,0.99875,0.710166805389712,0.8234741489188813,0.24397692639212834,13.742351046698873,20.0,20.0
both_ch64,ppo_v4,48,254.73935362659162,600,600,786.1313096884865,647.8334141907274,212.57108556276145,211.6479130716666,57.62,209.81417560286127,209.8141756028613,56,0.7147568013190437,0.1838417147568013,0.5309150865622424,1.0,0.7417449469963856,0.9965104166666666,0.716975437634145,0.8334563917466278,0.267600239521502,13.814465408805031,20.0,20.0
both_ch64,ppo_v4,49,271.0612480203313,600,600,743.3465389769656,611.9132250151289,212.20962922276522,211.16433763605977,57.33,213.4890716018124,213.48907160181244,62,0.6985049833887044,0.17566445182724252,0.5228405315614618,1.0,0.7659110974398766,0.9961979166666667,0.7189879672700563,0.8431880694615633,0.29534592728959963,13.882530120481928,20.0,20.0
both_ch64,ppo_v4,50,263.5769177510304,600,600,778.7999490711376,632.467582768266,211.09882135426835,210.00854595277548,56.961666666666666,222.90683635024197,215.96620646697076,50,0.7079391197038256,0.1888111888111888,0.5191279308926368,1.0,0.7388138790451245,0.9972395833333333,0.7359073680096805,0.8288895785533542,0.2756504011413838,13.774242424242424,20.0,20.0
both_ch64,ppo_v4,51,252.44524076468997,600,600,770.4303003527792,616.1029892331142,210.44135989366305,209.4512184365773,57.03333333333333,211.78729193157338,210.3720980710952,50,0.7162771627716277,0.1922919229192292,0.5239852398523985,1.0,0.7168515558536225,0.9981770833333333,0.7324709654331789,0.8289963076366373,0.2732498732471687,13.750778816199377,20.0,20.0
