time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,594.8771064924482,594.8771064924482,85.39055364342754,85.39055364342754,10.673819205428442,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.375,0.9877331905282554
1.0,218.69105492240084,218.69105492240084,135.54553382424697,119.09802241481442,14.887252801851803,4,0.0,0.0,0.0,1.0,0.2,1.0,1.0,0.0,0.625,0.9876433792061148
2.0,649.6457038870027,649.6457038870027,192.49091271686535,192.49091271686535,24.06136408960817,10,0.0,0.0,0.0,1.0,0.09090909090909091,1.0,1.0,0.0,1.0,0.9830725941199031
3.0,1063.9413918211571,1063.9413918211571,187.7555026598675,187.7555026598675,23.469437832483436,16,0.0,0.0,0.0,1.0,0.058823529411764705,1.0,1.0,0.0,1.0,0.9091869303159668
4.0,377.74252140160706,377.74252140160706,185.64159695695116,182.30229074773962,22.787786343467452,17,0.0,0.0,0.0,1.0,0.10526315789473684,1.5,2.0,0.0,1.0,0.8788496656976622
5.0,0.0,0.0,188.8489816650595,176.32174805663715,22.040218507079643,15,0.0,0.0,0.0,1.0,0.21052631578947367,2.5,4.0,0.0,1.0,0.9214267873531029
6.0,411.5588377520399,411.5588377520399,182.32660769137192,167.7994537607657,20.97493172009571,16,0.0,0.0,0.0,1.0,0.2727272727272727,3.6666666666666665,7.0,0.0,1.0,0.8962472029452254
7.0,1162.2704475660719,1162.2704475660719,172.02693795055023,170.97539856562398,21.371924820702997,20,0.0,0.0,0.0,1.0,0.25925925925925924,4.0,7.0,0.0,1.0,0.8361879001678294
8.0,481.08225344519826,481.08225344519826,167.59589245081133,167.5958924508113,20.949486556351413,22,0.0,0.0,0.0,1.0,0.26666666666666666,4.625,9.0,0.0,1.0,0.7762936508991121
9.0,686.0230711936568,686.0230711936568,160.54018715411635,160.54018715411638,20.067523394264548,27,0.0,0.0,0.0,1.0,0.25,4.333333333333333,9.0,0.0,1.0,0.7623549805224452
10.0,2196.37161692506,2196.37161692506,160.46263508749277,160.46263508749277,20.057829385936596,31,0.0,0.0,0.0,1.0,0.24390243902439024,4.8,9.0,0.0,1.0,0.7582380401130329
11.0,401.417916751013,401.417916751013,158.96883784208396,158.96883784208396,19.871104730260495,32,0.0,0.0,0.0,1.0,0.2727272727272727,4.75,9.0,0.0,1.0,0.6977781826997698
12.0,3456.9294055870328,3456.9294055870328,161.40264840681292,161.4026484068129,20.17533105085161,38,0.0,0.0,0.0,1.0,0.24,4.75,9.0,0.0,1.0,0.7296108437468534
13.0,1045.2957374146588,1045.2957374146588,154.5779426847857,154.5779426847857,19.322242835598214,40,0.0,0.0,0.0,1.0,0.24528301886792453,5.3076923076923075,9.0,0.0,1.0,0.741475085288065
14.0,1335.2656218628467,1335.2656218628467,154.62734737856505,154.62734737856508,19.328418422320635,41,0.0,0.0,0.0,1.0,0.2545454545454545,5.571428571428571,9.0,0.0,1.0,0.7593384720770158
15.0,206.51473565235122,206.51473565235122,156.3627669276924,156.3627669276924,19.54534586596155,40,0.0,0.0,0.0,1.0,0.3103448275862069,6.944444444444445,13.0,0.0,1.0,0.716314850543091
16.0,1144.0532801687077,1144.0532801687077,151.29130034296705,151.29130034296705,18.91141254287088,45,0.0,0.0,0.0,1.0,0.296875,7.0,13.0,0.0,1.0,0.7356307127527607
17.0,301.4923531262201,301.4923531262201,151.28399861005104,151.28399861005101,18.910499826256377,50,0.0,0.0,0.0,1.0,0.2753623188405797,7.0,13.0,0.0,1.0,0.6784052144944893
18.0,408.9624777428418,408.9624777428418,159.38656028567195,159.38656028567198,19.923320035708997,53,0.0,0.0,0.0,1.0,0.2638888888888889,7.0,13.0,0.0,1.0,0.7096815334231334
19.0,907.1521103533767,907.1521103533767,160.83731420388972,160.83731420388972,20.104664275486215,58,0.0,0.0,0.0,1.0,0.24675324675324675,7.0,13.0,0.0,1.0,0.6954779709731282
20.0,722.3156032900532,580.9827033989704,167.10926661273328,167.10926661273325,20.888658326591656,60,0.024691358024691357,0.012345679012345678,0.012345679012345678,0.9876543209876543,0.2345679012345679,7.0,13.0,20.0,1.0,0.7238715243153322
21.0,306.7750005421573,306.7750005421573,164.76312427460314,164.76312427460314,20.595390534325393,63,0.023809523809523808,0.011904761904761904,0.011904761904761904,0.9880952380952381,0.2261904761904762,7.0,13.0,20.0,1.0,0.7729934980399199
22.0,934.1201081939319,934.1201081939319,163.5506873337067,163.55068733370666,20.443835916713333,64,0.034482758620689655,0.011494252873563218,0.022988505747126436,0.9885057471264368,0.22988505747126436,7.45,15.0,20.0,1.0,0.7475053798376299
23.0,536.9939701218672,536.9939701218672,171.42710312496322,171.42710312496322,21.428387890620403,64,0.06593406593406594,0.01098901098901099,0.054945054945054944,0.989010989010989,0.23076923076923078,7.904761904761905,16.0,20.0,1.0,0.7657906560871769
24.0,727.712345280504,727.712345280504,168.6913836651694,168.6913836651694,21.086422958146176,68,0.07216494845360824,0.010309278350515464,0.061855670103092786,0.9896907216494846,0.2268041237113402,8.227272727272727,16.0,20.0,1.0,0.6756462522321742
25.0,716.9757546701201,716.9757546701201,176.358812323224,176.35881232322396,22.044851540402995,71,0.07,0.01,0.06,0.99,0.22,8.227272727272727,16.0,20.0,1.0,0.6845678498697118
26.0,537.1077314477232,537.1077314477232,174.84147168331322,174.8414716833132,21.85518396041415,71,0.0784313725490196,0.00980392156862745,0.06862745098039216,0.9901960784313726,0.22549019607843138,8.652173913043478,17.0,20.0,1.0,0.7061835026422381
27.0,262.18276210397755,204.01179860359488,167.47663306145904,167.47663306145904,20.93457913268238,67,0.11428571428571428,0.01904761904761905,0.09523809523809523,0.9809523809523809,0.24761904761904763,9.461538461538462,18.0,20.0,1.0,0.6260262147162973
28.0,46.409632781322436,46.409632781322436,167.86277773384234,167.86277773384236,20.982847216730296,65,0.1320754716981132,0.018867924528301886,0.11320754716981132,0.9811320754716981,0.25471698113207547,9.518518518518519,18.0,20.0,1.0,0.6437179214632668
29.0,22.857887581752713,22.857887581752713,167.80065488762577,167.80065488762577,20.97508186095322,63,0.14018691588785046,0.018691588785046728,0.12149532710280374,0.9813084112149533,0.27102803738317754,9.96551724137931,19.0,20.0,1.0,0.6479558634218745
30.0,1047.2677574795553,1047.2677574795553,176.47605879953392,176.4760587995339,22.059507349941736,65,0.16666666666666666,0.017543859649122806,0.14912280701754385,0.9824561403508771,0.2631578947368421,10.3,19.0,20.0,1.0,0.7432595073865733
31.0,1102.8553913772248,1102.8553913772248,179.0909817432304,179.09098174323037,22.386372717903797,69,0.16806722689075632,0.01680672268907563,0.15126050420168066,0.9831932773109243,0.25210084033613445,10.3,19.0,20.0,1.0,0.8068479070553717
32.0,2132.863651068925,2132.863651068925,174.25762373283726,174.25762373283723,21.782202966604654,69,0.208,0.016,0.192,0.984,0.24,10.3,19.0,20.0,1.0,0.8071875763168359
33.0,18.89285142503372,18.89285142503372,175.31773112600044,175.3177311260004,21.91471639075005,66,0.2222222222222222,0.015873015873015872,0.20634920634920634,0.9841269841269841,0.25396825396825395,10.5625,19.0,20.0,1.0,0.8173258414221278
34.0,640.0002100725886,640.0002100725886,174.84950096778658,174.84950096778658,21.856187620973323,64,0.234375,0.015625,0.21875,0.984375,0.265625,11.029411764705882,19.0,20.0,1.0,0.8094808217310402
35.0,1020.0872634106372,1020.0872634106372,168.3519177394064,168.35191773940636,21.043989717425795,70,0.22962962962962963,0.014814814814814815,0.21481481481481482,0.9851851851851852,0.2518518518518518,11.029411764705882,19.0,20.0,1.0,0.8057313141827018
36.0,602.3615513913776,602.3615513913776,165.0989156734904,165.0989156734904,20.6373644591863,68,0.2571428571428571,0.014285714285714285,0.24285714285714285,0.9857142857142858,0.2571428571428571,11.5,19.0,20.0,1.0,0.7616450583346385
37.0,802.382439673801,802.382439673801,164.56912879045714,164.56912879045714,20.571141098807143,71,0.2620689655172414,0.013793103448275862,0.2482758620689655,0.9862068965517241,0.2482758620689655,11.5,19.0,20.0,1.0,0.8153487011849937
38.0,317.4198941618515,317.4198941618515,163.65474824732817,163.6547482473282,20.456843530916025,70,0.2653061224489796,0.013605442176870748,0.25170068027210885,0.9863945578231292,0.2585034013605442,11.710526315789474,19.0,20.0,1.0,0.794218894518828
39.0,1102.822984841943,1102.822984841943,162.55379394833002,162.55379394833002,20.319224243541253,69,0.2894736842105263,0.013157894736842105,0.27631578947368424,0.9868421052631579,0.2565789473684211,11.794871794871796,19.0,20.0,1.0,0.7465766507616848
40.0,411.73568562692947,411.73568562692947,160.27288688742092,160.27288688742092,20.034110860927616,68,0.3051948051948052,0.012987012987012988,0.2922077922077922,0.987012987012987,0.2532467532467532,11.794871794871796,19.0,20.0,1.0,0.7185216142542585
41.0,2148.64940769889,2148.64940769889,162.455485982219,162.455485982219,20.306935747777374,72,0.3105590062111801,0.012422360248447204,0.2981366459627329,0.9875776397515528,0.2422360248447205,11.794871794871796,19.0,20.0,1.0,0.7870088805844188
42.0,1744.1490325046045,1744.1490325046045,161.4526541116407,161.4526541116407,20.181581763955087,74,0.31137724550898205,0.011976047904191617,0.2994011976047904,0.9880239520958084,0.24550898203592814,12.024390243902438,19.0,20.0,1.0,0.7990440881323055
43.0,523.3945123788427,523.3945123788427,156.81196241879704,156.81196241879707,19.601495302349633,72,0.32941176470588235,0.011764705882352941,0.3176470588235294,0.9882352941176471,0.24705882352941178,12.214285714285714,20.0,20.0,1.0,0.7664729832837752
44.0,638.812645383555,638.812645383555,161.8299511796447,161.8299511796447,20.228743897455587,72,0.34104046242774566,0.011560693641618497,0.32947976878612717,0.9884393063583815,0.24277456647398843,12.214285714285714,20.0,20.0,1.0,0.8073445510436436
45.0,461.20679727500703,461.20679727500703,157.66147297623272,157.66147297623274,19.707684122029093,72,0.3409090909090909,0.011363636363636364,0.32954545454545453,0.9886363636363636,0.25,12.431818181818182,20.0,20.0,1.0,0.8379568682188122
46.0,744.003304772009,744.003304772009,157.6596725417873,157.6596725417873,19.707459067723413,72,0.3463687150837989,0.0111731843575419,0.33519553072625696,0.9888268156424581,0.25139664804469275,12.488888888888889,20.0,20.0,1.0,0.7994662159328069
47.0,1284.4820663331095,1284.4820663331095,157.57913855275424,157.57913855275424,19.69739231909428,77,0.3422459893048128,0.0106951871657754,0.3315508021390374,0.9893048128342246,0.24598930481283424,12.608695652173912,20.0,20.0,1.0,0.8147810504094822
