scenario,strategy,seed,samples,avg_offered_load_mbps,avg_accepted_load_mbps,avg_capacity_mbps,avg_goodput_mbps,avg_queue,final_capacity_mbps,final_goodput_mbps,final_queue,final_blocked_rate,final_blocked_queue_cap_rate,final_blocked_timeout_rate,final_utilization,final_fairness,avg_utilization,avg_fairness,avg_acceptance_rate,avg_service_rate,final_mean_served_delay_s,final_p95_served_delay_s,final_mean_timeout_delay_s
both_ch32,proportional_fair,42,600,766.2760178948384,613.5833773053656,106.08993642871192,105.96819390196956,60.5,105.87971253532791,105.87971253532791,72,0.8330543933054393,0.1899581589958159,0.6430962343096235,1.0,0.8215987465450206,0.9983333333333333,0.8341015212649463,0.8278104250187733,0.14199861055675628,15.55045871559633,20.0,20.0
both_ch32,proportional_fair,43,600,759.8008368706072,599.2247882605678,107.01899284160748,107.00034190706424,60.77333333333333,107.50085762283315,107.50085762283311,63,0.8338748984565394,0.21121039805036557,0.6226645004061738,1.0,0.7918129945313109,0.9998958333333333,0.834992083118487,0.8024284647140673,0.13908171126982113,16.020231213872833,20.0,20.0
both_ch32,proportional_fair,44,600,764.4133077715236,611.9297214260611,106.45706933222205,106.3816738256794,60.49333333333333,105.79530418829208,105.79530418829208,61,0.8367598684210527,0.20148026315789475,0.6352796052631579,1.0,0.849632084458553,1.0,0.8359165598610517,0.8138499976758614,0.14616533758935601,15.125,20.0,20.0
both_ch32,proportional_fair,45,600,787.1612102454801,626.2577944008401,107.3066563695387,107.258383920074,60.535,102.94588666385494,102.94588666385494,61,0.8325123152709359,0.20320197044334976,0.6293103448275862,1.0,0.8419439006953279,0.9992708333333333,0.8326633281329563,0.8089851745883235,0.1596504777305432,15.282420749279538,20.0,20.0
both_ch32,proportional_fair,46,600,752.7792334683929,610.326207046863,107.04638225227501,107.01690760228225,58.935,105.42608800409806,105.42608800409803,65,0.8371893744644388,0.18980291345329905,0.6473864610111397,1.0,0.8292301795664733,0.9994791666666667,0.8350741471801486,0.8134428851643746,0.13636749336952583,15.466666666666667,20.0,20.0
both_ch32,proportional_fair,47,600,776.7866375396233,623.8755578044685,106.75872759839534,106.73265769372755,60.64833333333333,105.44866133381812,105.44866133381812,62,0.847953216374269,0.1934001670843776,0.6545530492898914,1.0,0.8006580406212112,1.0,0.8278703235921822,0.8060337021455707,0.11761209106710614,15.586092715231787,20.0,20.0
both_ch32,proportional_fair,48,600,786.1313096884865,626.8367384160572,106.13089580702795,106.10407067667548,61.29666666666667,109.47423097120249,109.47423097120247,54,0.8590272052761748,0.2044517724649629,0.6545754328112119,1.0,0.8868132320443448,0.9982291666666666,0.8270986921321443,0.808796322042397,0.11354267106523364,16.104166666666668,20.0,20.0
both_ch32,proportional_fair,49,600,743.3465389769656,596.7394775987497,106.03444914652157,105.9315124860977,60.775,103.72310630641587,103.72310630641587,68,0.8338870431893688,0.19186046511627908,0.6420265780730897,1.0,0.734268194670444,1.0,0.8413944212539838,0.8315330335173136,0.1629266357881525,15.44277108433735,20.0,20.0
both_ch32,proportional_fair,50,600,778.7999490711376,621.428852991799,106.56329346895599,106.52982733636091,60.666666666666664,105.75081957610278,105.75081957610278,60,0.8461538461538461,0.20526532291238173,0.6408885232414644,1.0,0.8259558449674324,0.9991666666666666,0.8397644087302812,0.8146229433211117,0.14036526563515953,15.51592356687898,20.0,20.0
both_ch32,proportional_fair,51,600,770.4303003527792,604.5817954035846,106.7356877642332,106.72568107691376,60.348333333333336,105.66206450717466,105.66206450717463,54,0.8409184091840919,0.2099220992209922,0.6309963099630996,1.0,0.8194902941715819,0.9995833333333334,0.8342802925868856,0.811446275248082,0.1444035210574801,15.661676646706587,20.0,20.0
both_ch32,round_robin,42,600,766.2760178948384,610.580159579945,101.38578436926942,101.12584506345961,59.64833333333333,101.53994924912206,101.53994924912203,71,0.8359832635983263,0.19456066945606695,0.6414225941422594,1.0,0.892424358077934,0.9983333333333333,0.9212075420057293,0.8231231596371006,0.14276172289085842,14.49221183800623,20.0,20.0
both_ch32,round_robin,43,600,759.8008368706072,595.2459893380139,101.60645388071103,101.40267188885264,60.18833333333333,101.68255281980626,101.68255281980623,61,0.8383428107229894,0.2148659626320065,0.6234768480909829,1.0,0.9490669980618239,0.9998958333333333,0.9218436499985943,0.7968231743899888,0.13447757569908986,15.270029673590505,20.0,20.0
both_ch32,round_robin,44,600,764.4133077715236,606.0869044037566,101.95852750645729,101.70547614965899,59.72833333333333,101.95172077528218,101.95172077528217,60,0.8396381578947368,0.20435855263157895,0.6352796052631579,1.0,0.9499467225200425,1.0,0.9225550988273532,0.8107491916942166,0.15237905287265313,14.078787878787878,20.0,20.0
both_ch32,round_robin,45,600,787.1612102454801,621.2483514337631,101.92875638383241,101.66812320959748,59.656666666666666,101.53994924912206,101.53994924912205,63,0.8399014778325123,0.20977011494252873,0.6301313628899836,1.0,0.892424358077934,0.9992708333333333,0.9229336011798146,0.8007408719023021,0.147575045180953,14.357798165137615,20.0,20.0
both_ch32,round_robin,46,600,752.7792334683929,601.6519840056777,102.09886151644471,101.93026587142491,58.615,102.21446735088598,102.21446735088595,63,0.8534704370179949,0.1928020565552699,0.6606683804627249,1.0,0.9497913351307039,0.9994791666666667,0.9255254045170176,0.8100515788103342,0.11785543892647231,14.54121863799283,20.0,20.0
both_ch32,round_robin,47,600,776.7866375396233,620.5963856448437,101.56890544509285,101.4198988992829,60.016666666666666,101.53994924912206,101.35722462556609,61,0.8521303258145363,0.1971595655806182,0.6549707602339181,1.0,0.892424358077934,1.0,0.9210766924750726,0.804088419937065,0.11907688899120498,14.699658703071673,20.0,20.0
both_ch32,round_robin,48,600,786.1313096884865,629.8469889414735,101.49333381612492,101.37454387377318,60.708333333333336,106.08579932566906,106.08579932566903,55,0.8623248145094806,0.20651277823577907,0.6558120362737015,1.0,0.9711585084422233,0.9982291666666666,0.9215431196731005,0.8069556535627771,0.11675595447602966,15.096774193548388,20.0,20.0
both_ch32,round_robin,49,600,743.3465389769656,596.510697840535,101.79361435357369,101.53934054252201,60.181666666666665,100.68255234752448,100.68255234752445,65,0.8334717607973422,0.19269102990033224,0.6407807308970099,1.0,0.9480456423918616,1.0,0.9229437498746851,0.8313208496614078,0.15751428749951116,14.50297619047619,20.0,20.0
both_ch32,round_robin,50,600,778.7999490711376,617.2359253431234,101.74294448370482,101.55648623112366,59.76833333333333,102.62417368705765,102.62417368705762,59,0.8482106129164952,0.21225832990538873,0.6359522830111065,1.0,0.950312048133192,0.9991666666666666,0.9218350805332002,0.803265192095775,0.13134947112306727,14.783870967741935,20.0,20.0
both_ch32,round_robin,51,600,770.4303003527792,599.7599764916026,101.77533753142195,101.61008741792116,59.415,101.53994924912206,100.12475538864386,51,0.8536285362853628,0.21484214842148422,0.6387863878638786,1.0,0.892424358077934,0.9995833333333334,0.9210937414698246,0.8052340274979798,0.13377040351025077,13.92156862745098,20.0,20.0
both_ch32,longest_queue_first,42,600,766.2760178948384,612.261907284808,101.74788275778214,101.59933928960233,60.1,101.61672900809896,101.61672900809894,73,0.8389121338912134,0.19288702928870294,0.6460251046025105,1.0,0.8925633937340732,0.9983333333333333,0.911141165313476,0.824093425527879,0.13977081094795388,14.98076923076923,20.0,20.0
both_ch32,longest_queue_first,43,600,759.8008368706072,598.2709908227904,102.17291922921824,102.0904047267575,60.44166666666667,103.61240677271833,103.6124067727183,61,0.8379366368805848,0.21445978878960195,0.6234768480909829,1.0,0.9228347065166818,0.9998958333333333,0.9112588534766962,0.7971072261290443,0.1368818966966252,15.689349112426035,20.0,20.0
both_ch32,longest_queue_first,44,600,764.4133077715236,607.4357029069664,102.29497416682835,102.13332674479513,60.07333333333333,103.19616895682958,103.19616895682958,61,0.8416940789473685,0.20394736842105263,0.6377467105263158,1.0,0.9309584717514668,1.0,0.9134804359485581,0.8108096869815759,0.14818846805701597,14.512345679012345,20.0,20.0
both_ch32,longest_queue_first,45,600,787.1612102454801,625.6074620112213,102.16639250114491,102.03329321894915,60.055,100.44982218156841,100.4498221815684,63,0.8386699507389163,0.20730706075533661,0.6313628899835796,1.0,0.9048997016650214,0.9992708333333333,0.9138203007381778,0.8023322707045286,0.14630709468119066,14.763636363636364,20.0,20.0
