scenario,strategy,avg_offered_load_mbps_mean,avg_offered_load_mbps_std,avg_accepted_load_mbps_mean,avg_accepted_load_mbps_std,avg_capacity_mbps_mean,avg_capacity_mbps_std,avg_goodput_mbps_mean,avg_goodput_mbps_std,avg_queue_mean,avg_queue_std,final_queue_mean,final_queue_std,final_blocked_rate_mean,final_blocked_rate_std,final_blocked_queue_cap_rate_mean,final_blocked_queue_cap_rate_std,final_blocked_timeout_rate_mean,final_blocked_timeout_rate_std,final_utilization_mean,final_utilization_std,final_fairness_mean,final_fairness_std,avg_acceptance_rate_mean,avg_acceptance_rate_std,avg_service_rate_mean,avg_service_rate_std,final_mean_served_delay_s_mean,final_mean_served_delay_s_std,final_p95_served_delay_s_mean,final_p95_served_delay_s_std,final_mean_timeout_delay_s_mean,final_mean_timeout_delay_s_std
both_ch32,greedy_backlog,768.5925341879835,14.199621615207821,625.7832890817542,11.52113993890459,134.31967757428265,0.4566747129740671,134.24788781849435,0.49622506368717145,61.083333333333336,0.6143394525528728,63.3,4.738729318662922,0.80248476535474,0.00940571177294786,0.18542758637758566,0.008774316624383483,0.6170571789771545,0.008884171549232645,1.0,0.0,0.9060342172355791,0.010116986222124945,0.8285229931079581,0.007165677218187165,0.17808881933338744,0.013559784657878745,15.926432134896771,0.3014712325799905,20.0,0.0,20.0,0.0
both_ch32,longest_queue_first,768.5925341879835,14.199621615207821,611.1319712455023,11.638307221032091,102.1783276589222,0.2224382576559578,102.07299783760764,0.2334410632160792,60.10183333333333,0.5773649433224858,61.8,5.391351098441529,0.84512577165188,0.0069454464179839175,0.20303114975491657,0.00884033247730269,0.6420946218969635,0.010631773778389437,1.0,0.0,0.9137585578492695,0.017693717680591373,0.8097883348917501,0.010356594428768693,0.13529834343125702,0.012804460133446577,15.05237506346175,0.41066004871431105,20.0,0.0,20.0,0.0
both_ch32,proportional_fair,768.5925341879835,14.199621615207821,613.4784310654356,10.994549203828496,106.61420910094891,0.43939477050613873,106.5649250426845,0.4634696639596171,60.49716666666667,0.6062829728846711,62.0,5.577733510227169,0.8401330570096157,0.008572660036728935,0.20005535308997185,0.008156150388054024,0.6400777039196438,0.010600596976417362,1.0,0.0,0.82014035122717,0.040090801671880755,0.8138949223435874,0.009158215529008418,0.14021138151291343,0.015592385641572845,15.575540802523673,0.2994989657653568,20.0,0.0,20.0,0.0
both_ch32,round_robin,768.5925341879835,14.199621615207821,609.8763363022734,11.901241370198111,101.7352519286633,0.2234805812405502,101.53327391476165,0.21934771068365028,59.79266666666666,0.5547856887968798,60.9,5.425249610233004,0.8457102197389776,0.009520264251767099,0.20398212082610537,0.009023021356896876,0.6417280989128724,0.011947290262198818,1.0,0.0,0.9288018686991583,0.032004733510679284,0.8092352119188947,0.010504803300167568,0.13535158411700904,0.014611648478857956,14.574489487580422,0.4147337804306192,20.0,0.0,20.0,0.0
both_ch64,greedy_backlog,768.5925341879835,14.199621615207821,635.8721831694041,12.688607147767199,239.80761330946044,0.755278930589432,239.65647425039438,0.8163788274786837,58.334,0.7429106089157056,60.2,6.696599468718764,0.6649826916968713,0.011428000183249984,0.17160710659493522,0.008361318802827304,0.49337558510193613,0.011094729485226969,1.0,0.0,0.9692426028707992,0.012954918201270081,0.8432931247825138,0.006647035256674038,0.31311632593072397,0.019037799349952686,15.098210375241745,0.2798880521393418,20.0,0.0,20.0,0.0
both_ch64,longest_queue_first,768.5925341879835,14.199621615207821,623.8506352986299,12.282353513022441,204.6139372104421,0.4361149374781344,204.06311535760497,0.42003804077043044,57.449,0.5566506983737629,58.6,4.718756898449703,0.7148780469654106,0.012570126140210372,0.18618565536710063,0.008265141396131336,0.5286923915983099,0.012597870213021159,1.0,0.0,0.9515978822261305,0.01387414903962421,0.8281805316382348,0.008321819124048172,0.26902210159826545,0.02242000501764813,14.224715009430218,0.2636820810665195,20.0,0.0,20.0,0.0
both_ch64,proportional_fair,768.5925341879835,14.199621615207821,627.2786564286932,12.335796311422044,205.29381487704865,0.5724864224612056,205.12518746391706,0.6000824344684396,58.486666666666665,0.6049466867643465,59.5,5.482294734466175,0.7133193321327452,0.011773795209273949,0.18220714340836705,0.008154943854644384,0.5311121887243782,0.011346427266937712,1.0,0.0,0.8170307752328787,0.0583233103126821,0.832105311617742,0.007030860705957446,0.2695841647298046,0.01950438466608121,14.951116497755374,0.2514658606676467,20.0,0.0,20.0,0.0
both_ch64,round_robin,768.5925341879835,14.199621615207821,623.6426859547062,12.943679190209634,204.27734543596745,0.47762484096526503,203.5109928429419,0.4551499605128668,57.03966666666666,0.5952086468905954,58.7,4.900113377373129,0.715095651873448,0.013144790859792851,0.1875568309396163,0.007844356638228925,0.5275388209338316,0.013268293831991422,1.0,0.0,0.9673391153311197,0.008378426984625376,0.8267153851601163,0.00836771574149576,0.2680875748715372,0.02266186976119727,13.934275470077427,0.30699411858604053,20.0,0.0,20.0,0.0
both_int3,greedy_backlog,768.5925341879835,14.199621615207821,634.0760081335604,11.48735376442072,201.83279087063067,0.5163861056552835,201.702828288728,0.5675645543100137,59.70033333333333,0.644169385744824,62.4,5.211099265563415,0.7128466396220935,0.009418413744711968,0.17421210229884668,0.00810137253856044,0.5386345373232467,0.009251851112823981,1.0,0.0,0.9875991538146838,0.002068828989981582,0.8399537483578875,0.006572984747542121,0.263328966569509,0.017394727138137223,15.5077773080003,0.2662912286389897,20.0,0.0,20.0,0.0
both_int3,longest_queue_first,768.5925341879835,14.199621615207821,619.059102824138,13.285168167324667,174.03031457791914,0.29944684541829436,173.6662832364549,0.32892237685499665,58.306,0.5525994687289407,59.5,5.522680508593631,0.7518519458071226,0.009630117232276338,0.19177547546358653,0.008099772712317854,0.5600764703435361,0.0105274643587759,1.0,0.0,0.9419122151464325,0.00859715987245242,0.8222067804151363,0.008316081917861049,0.23016162438634963,0.019468332348622355,14.55486859108809,0.2744769283117448,20.0,0.0,20.0,0.0
