scenario,strategy,avg_goodput_mbps_mean,avg_goodput_mbps_std,final_blocked_rate_mean,final_blocked_rate_std,avg_acceptance_rate_mean,avg_acceptance_rate_std,avg_service_rate_mean,avg_service_rate_std,final_mean_served_delay_s_mean,final_mean_served_delay_s_std,final_p95_served_delay_s_mean,final_p95_served_delay_s_std,final_fairness_mean,final_fairness_std,final_queue_mean,final_queue_std,episode_reward_mean,episode_reward_std,avg_offered_load_mbps_mean,avg_offered_load_mbps_std,avg_accepted_load_mbps_mean,avg_accepted_load_mbps_std,avg_capacity_mbps_mean,avg_capacity_mbps_std,avg_queue_mean,avg_queue_std,final_blocked_queue_cap_rate_mean,final_blocked_queue_cap_rate_std,final_blocked_timeout_rate_mean,final_blocked_timeout_rate_std,final_utilization_mean,final_utilization_std,final_mean_timeout_delay_s_mean,final_mean_timeout_delay_s_std
baseline_both,greedy_backlog,192.09404223404223,0.6278854463807552,0.7249899859017113,0.0086889685047793,0.8381358171616065,0.0062646518912789,0.2522222710868427,0.0173795628021057,15.559800293820455,0.2648645695586279,20.0,0.0,0.985222370230647,0.0037886773690471,62.4,5.037636129950019,,,,,,,,,,,,,,,,,,
baseline_both,longest_queue_first,153.06119114637846,0.3762841230011607,0.7777570386045436,0.0104373870808474,0.818616297394178,0.009330874930397,0.203899908583608,0.0194527007990606,14.674126678874956,0.2651901771603577,20.0,0.0,0.9371881788288696,0.0090862743995755,60.1,5.933895104491747,,,,,,,,,,,,,,,,,,
baseline_both,proportional_fair,157.62802519727595,0.5551874494635062,0.7717203187003769,0.0092676468809225,0.8234942355055781,0.0084829288794199,0.2101157217536967,0.0177134813533929,15.335913821498211,0.2586389149885761,20.0,0.0,0.8193388421427195,0.0557891075407421,61.3,4.620004810002305,,,,,,,,,,,,,,,,,,
baseline_both,round_robin,152.4752722178802,0.3683619759214852,0.7789747558256932,0.0119494016079743,0.8171148846161913,0.0093516120261106,0.2026876610642538,0.0189179618394546,14.323260781278393,0.3349147097320596,20.0,0.0,0.9628162532101646,0.0108609663590849,60.1,5.971227307309241,,,,,,,,,,,,,,,,,,
baseline_both,ppo,153.17129120238832,0.3401872297984458,0.7789386628686933,0.0126622339231525,0.8172845433328838,0.0099161815464138,0.202481614060046,0.0192733201879387,14.207662988106978,0.3413746959965867,20.0,0.0,0.9544281071938654,0.0111174634744543,59.9,5.743595467030114,-0.5036279895866891,6.4252306133783295,768.5925341879835,14.19962161520782,614.911964036735,10.601544292453609,153.6292274392547,0.3530945519579387,58.35983333333333,0.5362607448058755,0.1965781993544591,0.0081932632021826,0.5823604635142341,0.0121932648865905,1.0,0.0,20.0,0.0
