scenario,strategy,avg_goodput_mbps_mean,avg_goodput_mbps_std,final_blocked_rate_mean,final_blocked_rate_std,avg_acceptance_rate_mean,avg_acceptance_rate_std,avg_service_rate_mean,avg_service_rate_std,final_mean_served_delay_s_mean,final_mean_served_delay_s_std,final_p95_served_delay_s_mean,final_p95_served_delay_s_std,final_fairness_mean,final_fairness_std,final_queue_mean,final_queue_std
both_ch32,greedy_backlog,134.24788781849435,0.4962250636871714,0.80248476535474,0.0094057117729478,0.8285229931079581,0.0071656772181871,0.1780888193333874,0.0135597846578787,15.926432134896771,0.3014712325799905,20.0,0.0,0.9060342172355792,0.0101169862221249,63.3,4.738729318662922
both_ch32,longest_queue_first,102.07299783760764,0.2334410632160792,0.84512577165188,0.0069454464179839,0.8097883348917501,0.0103565944287686,0.135298343431257,0.0128044601334465,15.05237506346175,0.410660048714311,20.0,0.0,0.9137585578492696,0.0176937176805913,61.8,5.391351098441529
both_ch32,proportional_fair,106.5649250426845,0.4634696639596171,0.8401330570096157,0.0085726600367289,0.8138949223435874,0.0091582155290084,0.1402113815129134,0.0155923856415728,15.575540802523673,0.2994989657653568,20.0,0.0,0.82014035122717,0.0400908016718807,62.0,5.577733510227169
both_ch32,round_robin,101.53327391476164,0.2193477106836502,0.8457102197389776,0.009520264251767,0.8092352119188947,0.0105048033001675,0.135351584117009,0.0146116484788579,14.574489487580422,0.4147337804306192,20.0,0.0,0.9288018686991584,0.0320047335106792,60.9,5.425249610233004
both_ch32,ppo_v4,107.44687103454856,0.5640976435339218,0.8405746176280479,0.0077843124699027,0.8118897421263735,0.0084106213717028,0.1397597642936487,0.0144784688108262,14.40864594259865,0.5322156210955816,20.0,0.0,0.6611196292213626,0.0369756311178677,61.4,5.125101625008686
both_ch64,greedy_backlog,239.6564742503944,0.8163788274786837,0.6649826916968713,0.0114280001832499,0.8432931247825138,0.006647035256674,0.3131163259307239,0.0190377993499526,15.098210375241743,0.2798880521393418,20.0,0.0,0.9692426028707992,0.01295491820127,60.2,6.696599468718764
both_ch64,longest_queue_first,204.06311535760497,0.4200380407704304,0.7148780469654106,0.0125701261402103,0.8281805316382348,0.0083218191240481,0.2690221015982654,0.0224200050176481,14.224715009430218,0.2636820810665195,20.0,0.0,0.9515978822261304,0.0138741490396242,58.6,4.718756898449703
both_ch64,proportional_fair,205.12518746391703,0.6000824344684396,0.7133193321327452,0.0117737952092739,0.832105311617742,0.0070308607059574,0.2695841647298046,0.0195043846660812,14.951116497755374,0.2514658606676467,20.0,0.0,0.8170307752328787,0.0583233103126821,59.5,5.482294734466175
both_ch64,round_robin,203.5109928429419,0.4551499605128668,0.715095651873448,0.0131447908597928,0.8267153851601163,0.0083677157414957,0.2680875748715372,0.0226618697611972,13.934275470077427,0.3069941185860405,20.0,0.0,0.9673391153311196,0.0083784269846253,58.7,4.900113377373129
both_ch64,ppo_v4,210.94066380897652,1.086241155685356,0.7036971508726484,0.0099407028208774,0.8324082775053687,0.0071320808216226,0.2780932306825163,0.0162896433109206,13.707548876721798,0.1714518599912237,20.0,0.0,0.731004087215681,0.0281008441439928,58.2,5.613475849338903
both_int3,greedy_backlog,201.702828288728,0.5675645543100137,0.7128466396220935,0.0094184137447119,0.8399537483578875,0.0065729847475421,0.263328966569509,0.0173947271381372,15.5077773080003,0.2662912286389897,20.0,0.0,0.9875991538146838,0.0020688289899815,62.4,5.211099265563415
both_int3,longest_queue_first,173.6662832364549,0.3289223768549966,0.7518519458071226,0.0096301172322763,0.8222067804151363,0.008316081917861,0.2301616243863496,0.0194683323486223,14.55486859108809,0.2744769283117448,20.0,0.0,0.9419122151464324,0.0085971598724524,59.5,5.522680508593631
both_int3,proportional_fair,177.46623057293644,0.4809660996847156,0.7470889915642313,0.0105824227056101,0.8274182757818392,0.007853829671557,0.2346945074785629,0.0187306729423339,15.233060214126604,0.2361589776779601,20.0,0.0,0.8173481759745173,0.0543610393834714,60.6,4.903513479582209
both_int3,round_robin,172.9916879183385,0.3262854534381244,0.7523967164917698,0.0113481098004726,0.8206597903881898,0.0091067624809979,0.2287543411339022,0.0205948122461714,14.167571376728352,0.3372689825916324,20.0,0.0,0.965411965302398,0.0101880510085823,59.5,5.400617248673217
both_int3,ppo_v4,179.87448612877373,1.6140475483643653,0.7470510878137352,0.008823830828807,0.8259111466743541,0.0075044825819952,0.2359165086322447,0.0159486089343124,13.915590704796326,0.3534171193429892,20.0,0.0,0.6775352478561906,0.0485184036406058,59.3,4.808557187163547
both_int6,ppo_v4,139.6479527031898,1.477785360026383,0.7966410369509604,0.007857429444538,0.8192071697277961,0.0079917564856093,0.1871151676837038,0.014593596667396,14.248286004466902,0.4783793723481543,20.0,0.0,0.6809413424835318,0.0397118173461649,59.7,5.186520991955978
both_int6,longest_queue_first,133.1817682316857,0.4286571247588159,0.8054792117626363,0.0104791878426421,0.8153995731513428,0.0100872129590049,0.1766029467149643,0.0184056808953027,14.74788146837358,0.3045689787537939,20.0,0.0,0.9314035781018172,0.0153193340246241,60.6,5.521674464226308
both_int6,proportional_fair,138.45333528134523,0.607301380233979,0.7976433166569494,0.0101363922891686,0.8204006427824646,0.0088761676455778,0.1826641304784249,0.0163355145498517,15.408532144980322,0.2286208817120291,20.0,0.0,0.8201922565172504,0.0549335604653149,62.0,4.853406592853679
both_int6,greedy_backlog,182.6363026364175,0.5667071712830355,0.7367933128423514,0.0079795564950098,0.8355275920538199,0.0064236056114113,0.2410563144747574,0.0161094219674611,15.623671175277602,0.2599906077049542,20.0,0.0,0.9826516065606598,0.0062895757067868,62.9,4.532597979574678
both_int6,round_robin,132.66602730542877,0.4191579453425387,0.8055788486919173,0.0102579588684655,0.8141272783625972,0.0100380508928035,0.1762610570429957,0.0180569654874933,14.42141584539749,0.3761490481841373,20.0,0.0,0.9579418866327926,0.014339758893952,60.6,5.929212051829108
both_q5_t10,proportional_fair,162.2997694639239,0.7639473646297086,0.781189527578207,0.0115299080397327,0.9674136317346808,0.0057472842798841,0.2106725039493137,0.0226740867839244,7.331862513064598,0.1255248343136899,10.0,0.0,0.740343891891493,0.0609751576798809,34.3,5.638163609624049
