scenario,strategy,episode_reward_mean,episode_reward_std,avg_offered_load_mbps_mean,avg_offered_load_mbps_std,avg_accepted_load_mbps_mean,avg_accepted_load_mbps_std,avg_capacity_mbps_mean,avg_capacity_mbps_std,avg_goodput_mbps_mean,avg_goodput_mbps_std,avg_queue_mean,avg_queue_std,final_queue_mean,final_queue_std,final_blocked_rate_mean,final_blocked_rate_std,final_blocked_queue_cap_rate_mean,final_blocked_queue_cap_rate_std,final_blocked_timeout_rate_mean,final_blocked_timeout_rate_std,final_utilization_mean,final_utilization_std,final_fairness_mean,final_fairness_std,avg_acceptance_rate_mean,avg_acceptance_rate_std,avg_service_rate_mean,avg_service_rate_std,final_mean_served_delay_s_mean,final_mean_served_delay_s_std,final_p95_served_delay_s_mean,final_p95_served_delay_s_std,final_mean_timeout_delay_s_mean,final_mean_timeout_delay_s_std
both_ch32,ppo_v4,-100.64913139055434,5.105249150196592,768.5925341879835,14.19962161520782,613.0561455537188,12.393620110845726,107.70294614905023,0.555270123740649,107.44687103454856,0.5640976435339218,59.74783333333333,0.5684672102556181,61.4,5.125101625008686,0.8405746176280479,0.0077843124699027,0.201708317072292,0.008501671707934,0.6388663005557559,0.0120254655222468,1.0,0.0,0.6611196292213626,0.0369756311178677,0.8118897421263735,0.0084106213717028,0.1397597642936487,0.0144784688108262,14.40864594259865,0.5322156210955816,20.0,0.0,20.0,0.0
both_ch64,ppo_v4,265.50231784023657,7.550085678141799,768.5925341879835,14.19962161520782,627.9352144138288,12.157320848658484,211.97071671715597,1.0891231395033631,210.94066380897655,1.086241155685356,56.91016666666667,0.5052113907887629,58.2,5.613475849338903,0.7036971508726484,0.0099407028208774,0.1819182501298579,0.0080708935136307,0.5217789007427905,0.0102164402360405,1.0,0.0,0.731004087215681,0.0281008441439928,0.8324082775053687,0.0071320808216226,0.2780932306825163,0.0162896433109206,13.707548876721798,0.1714518599912237,20.0,0.0,20.0,0.0
both_int3,ppo_v4,149.14807057700494,8.545232097613209,768.5925341879835,14.19962161520782,623.9802885279324,13.35783313795556,180.69580960317563,1.5837386044683672,179.87448612877373,1.6140475483643653,57.8375,0.5320947713321471,59.3,4.808557187163547,0.7470510878137352,0.008823830828807,0.1888008719788958,0.0081659511428809,0.5582502158348394,0.0087553701333525,1.0,0.0,0.6775352478561906,0.0485184036406058,0.8259111466743541,0.0075044825819952,0.2359165086322447,0.0159486089343124,13.915590704796326,0.3534171193429892,20.0,0.0,20.0,0.0
both_int6,ppo_v4,7.486617347719888,6.68332565668801,768.5925341879835,14.19962161520782,617.3054120707317,12.268781833763006,140.1079268874739,1.500927121444991,139.6479527031898,1.477785360026383,58.98116666666666,0.516782573617822,59.7,5.186520991955978,0.7966410369509604,0.007857429444538,0.1952138290708853,0.0079610954025041,0.6014272078800752,0.0108975105291339,1.0,0.0,0.6809413424835318,0.0397118173461649,0.8192071697277961,0.0079917564856093,0.1871151676837038,0.014593596667396,14.248286004466902,0.4783793723481543,20.0,0.0,20.0,0.0
both_q5_t10,ppo_v4,132.91568804373145,5.851877166248464,768.5925341879835,14.19962161520782,740.9546065288716,14.65077253488127,167.31143968783246,0.7113758451163349,165.5411510460445,0.7487438066134368,34.949333333333335,0.4592466993503564,33.8,5.513619500836089,0.7750167491361071,0.0109082785090629,0.0355199791340599,0.0049616668964058,0.7394967700020472,0.0113578358943625,1.0,0.0,0.6876019855190094,0.0581769995082276,0.9661082233915076,0.0058415301413664,0.2181539962963277,0.0199733148052227,6.758710985468288,0.1346738293486503,10.0,0.0,10.0,0.0
both_q5_t40,ppo_v4,24.70688043687121,5.975726716370551,768.5925341879835,14.19962161520782,425.9856419207804,8.599239352311805,153.91308466528398,1.653712633946644,153.65467511360427,1.634648245570164,75.4585,0.7990578750342928,74.6,5.316640543300504,0.7726323150251102,0.01004968823117,0.4478668596659482,0.0086486600195998,0.3247654553591619,0.009116089779802,1.0,0.0,0.6507186502659218,0.0283645671669024,0.5963867739397742,0.0106673570367004,0.2038062518665725,0.0161920776137498,27.354935137557916,0.8296387376811898,39.7,0.4830458915396479,40.0,0.0
both_q10_t20,ppo_v4,70.1136666902617,4.967332145530953,768.5925341879835,14.19962161520782,763.1990958432834,13.836771577798135,159.59040661916583,1.197309360241484,159.10053820500892,1.2117065488547376,73.71833333333333,1.0651748827606664,77.3,7.257945837341153,0.7690058403351738,0.0075460186368352,0.0073183428174836,0.0028538869337865,0.7616874975176902,0.0072553414063078,1.0,0.0,0.6793569978766734,0.0341620075457721,0.9936753420365134,0.0023970491260706,0.2078686833635427,0.0131520086986162,14.796544979265663,0.4799355548700694,20.0,0.0,20.0,0.0
both_q15_t20,ppo_v4,69.74864178630799,5.508440184618014,768.5925341879835,14.19962161520782,768.5866797444203,14.198068914515584,159.5840854979711,1.2261582497703367,159.09714370419505,1.237996869893858,74.32366666666667,1.1483831360484569,77.3,7.257945837341153,0.7693365069767115,0.0079188928262857,8.175271949343723e-05,0.0001723541894038,0.7692547542572181,0.0079579126541533,1.0,0.0,0.6793569978766734,0.0341620075457721,0.9999668249921544,7.492395304248944e-05,0.207236082697939,0.0141165175863025,14.815035808527243,0.4860585937396354,20.0,0.0,20.0,0.0
