time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,acceptance_rate,service_rate,mean_served_delay_s,p95_served_delay_s,mean_timeout_delay_s,utilization,fairness
0.0,985.2728375960774,985.2728375960774,63.63913357737239,63.63913357737239,7.954891697171549,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5625,0.9990842682356886
1.0,427.5400784963447,427.5400784963447,112.63547537713167,96.49834173354388,12.062292716692985,5,0.0,0.0,0.0,1.0,0.2857142857142857,1.5,2.0,0.0,1.0,0.9438432883177792
2.0,196.81736487989247,196.81736487989247,127.2864057796604,127.20741426532977,15.900926783166222,6,0.0,0.0,0.0,1.0,0.3333333333333333,1.3333333333333333,2.0,0.0,1.0,0.9133140075689536
3.0,147.79218329786883,147.79218329786883,125.89910588104148,125.89910588104148,15.737388235130185,8,0.0,0.0,0.0,1.0,0.2727272727272727,1.3333333333333333,2.0,0.0,1.0,0.8512977016627611
4.0,884.306934770799,884.306934770799,121.35828404607314,121.35828404607312,15.16978550575914,11,0.0,0.0,0.0,1.0,0.21428571428571427,1.3333333333333333,2.0,0.0,1.0,0.864054341565518
5.0,448.39038473876155,448.39038473876155,123.21775174181816,123.21775174181816,15.40221896772727,15,0.0,0.0,0.0,1.0,0.16666666666666666,1.3333333333333333,2.0,0.0,1.0,0.7641978298481553
6.0,701.6286738213363,701.6286738213363,123.45094591639716,118.66965868034401,14.833707335043002,18,0.0,0.0,0.0,1.0,0.18181818181818182,2.5,6.0,0.0,1.0,0.6850915925291664
7.0,710.8425153320469,710.8425153320469,116.68878536776732,116.68878536776732,14.586098170970915,23,0.0,0.0,0.0,1.0,0.17857142857142858,3.4,7.0,0.0,1.0,0.7056991422449257
8.0,869.4675788486204,869.4675788486204,109.82989078590317,109.82989078590319,13.728736348237899,26,0.0,0.0,0.0,1.0,0.1875,3.1666666666666665,7.0,0.0,1.0,0.7747793737294782
9.0,185.69489617041882,185.69489617041882,110.37252421294296,110.37252421294295,13.796565526617869,29,0.0,0.0,0.0,1.0,0.17142857142857143,3.1666666666666665,7.0,0.0,1.0,0.7231932846988544
10.0,53.904312871669106,53.904312871669106,110.59698441214641,107.86702695843876,13.483378369804845,29,0.0,0.0,0.0,1.0,0.19444444444444445,3.2857142857142856,7.0,0.0,1.0,0.7234283857588135
11.0,870.2095579962149,680.2063465652463,116.71226954417224,116.71226954417224,14.58903369302153,33,0.023809523809523808,0.023809523809523808,0.0,0.9761904761904762,0.19047619047619047,3.75,7.0,0.0,1.0,0.7088807219751583
12.0,452.8922060091581,409.8344634508413,116.82638204590276,116.82638204590276,14.603297755737845,35,0.044444444444444446,0.044444444444444446,0.0,0.9555555555555556,0.17777777777777778,3.75,7.0,0.0,1.0,0.7091029940201691
13.0,614.2247645139907,614.2247645139907,119.0807813847392,119.0807813847392,14.8850976730924,34,0.0425531914893617,0.0425531914893617,0.0,0.9574468085106383,0.23404255319148937,5.363636363636363,11.0,0.0,1.0,0.7234965515131637
14.0,714.2009490710163,653.3347756740759,120.63397923224947,120.63397923224949,15.079247404031186,35,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,0.25,6.230769230769231,11.0,0.0,1.0,0.7507495066995379
15.0,1555.894218611145,1525.5838192140307,120.75059840483773,120.75059840483775,15.093824800604718,43,0.08196721311475409,0.08196721311475409,0.0,0.9180327868852459,0.21311475409836064,6.230769230769231,11.0,0.0,1.0,0.7504935503708716
16.0,321.91434636565054,321.91434636565054,120.84723545765556,120.84723545765557,15.105904432206946,45,0.07936507936507936,0.07936507936507936,0.0,0.9206349206349206,0.20634920634920634,6.230769230769231,11.0,0.0,1.0,0.7502677800215629
17.0,213.8227332294451,213.8227332294451,120.92246295032716,120.92246295032714,15.115307868790893,46,0.07692307692307693,0.07692307692307693,0.0,0.9230769230769231,0.2153846153846154,6.571428571428571,11.0,0.0,1.0,0.750073070026032
18.0,745.6082550709197,569.0950501570135,120.97526298878385,120.97526298878387,15.121907873597983,47,0.08695652173913043,0.08695652173913043,0.0,0.9130434782608695,0.2318840579710145,7.25,13.0,0.0,1.0,0.7499079825264678
19.0,1104.8580464476042,616.9706038152632,121.00510979077308,111.21425424423428,13.901781780529285,48,0.12162162162162163,0.12162162162162163,0.0,0.8783783783783784,0.22972972972972974,7.647058823529412,14.0,0.0,1.0,0.7497683889394298
20.0,607.7079386215592,454.876191886412,119.86190374656314,119.86190374656313,14.982737968320391,49,0.15384615384615385,0.1282051282051282,0.02564102564102564,0.8717948717948718,0.21794871794871795,7.647058823529412,14.0,20.0,1.0,0.6567404031424665
21.0,485.8713144015186,309.62826337243666,119.0073976681669,119.00739766816689,14.875924708520861,48,0.1728395061728395,0.13580246913580246,0.037037037037037035,0.8641975308641975,0.2345679012345679,8.68421052631579,17.0,20.0,1.0,0.7088335411297992
22.0,1614.5669056206993,1325.6540067228784,108.2872561044056,108.2872561044056,13.5359070130507,53,0.1724137931034483,0.13793103448275862,0.034482758620689655,0.8620689655172413,0.21839080459770116,8.68421052631579,17.0,20.0,1.0,0.7421178522925318
