time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,utilization,fairness
0.0,857.8626386779907,857.8626386779907,107.28251220486085,96.58677828219088,12.07334728527386,4,0.0,0.0,0.0,0.5,0.9821582595766047
1.0,59.70399403746282,59.70399403746282,124.90876609446684,118.62540533401246,14.828175666751557,5,0.0,0.0,0.0,0.625,0.9718242225523248
2.0,0.0,0.0,107.52477894475004,76.47919554255363,9.559899442819203,3,0.0,0.0,0.0,0.5,0.9822886494508565
3.0,9.552138471115418,9.552138471115418,82.52380891332476,58.44716128998054,7.305895161247568,2,0.0,0.0,0.0,0.375,0.975842219467357
4.0,1144.6642389159265,1144.6642389159265,147.68430138726148,147.68430138726148,18.460537673407686,7,0.0,0.0,0.0,0.75,0.9805422940289035
5.0,739.8252430427144,739.8252430427144,184.77251207565416,183.3779319957646,22.922241499470577,9,0.0,0.0,0.0,1.0,0.974738918086002
6.0,708.8751621963659,708.8751621963659,187.4005552452579,187.4005552452579,23.425069405657236,11,0.0,0.0,0.0,1.0,0.9579031595380073
7.0,1097.5177486538666,1097.5177486538666,169.67577009289556,169.67577009289553,21.20947126161194,19,0.0,0.0,0.0,1.0,0.9573672448014008
8.0,393.28785596885297,393.28785596885297,162.94076073975526,162.94076073975526,20.367595092469408,20,0.0,0.0,0.0,1.0,0.952205791548054
9.0,651.5486401320072,651.5486401320072,152.2934512997599,148.74987610223297,18.593734512779122,23,0.0,0.0,0.0,1.0,0.9699705764748298
10.0,255.56919185633,255.56919185633,157.46508937092935,157.46508937092935,19.68313617136617,25,0.0,0.0,0.0,1.0,0.9664255732278461
11.0,947.9953305695839,947.9953305695839,152.84691528281914,149.0180097684576,18.6272512210572,26,0.0,0.0,0.0,1.0,0.9500208411826204
12.0,489.9657600215858,489.9657600215858,155.5953843581741,155.5953843581741,19.449423044771763,30,0.0,0.0,0.0,1.0,0.9582196093495389
13.0,1811.5070542749947,1811.5070542749947,154.40557844606127,154.40557844606124,19.300697305757655,35,0.0,0.0,0.0,1.0,0.9352223952607445
14.0,472.10455729431123,472.10455729431123,152.89571962593564,152.8957196259356,19.11196495324195,39,0.0,0.0,0.0,1.0,0.9521665013406211
15.0,785.8356142066975,785.8356142066975,152.09455713354993,152.09455713354993,19.01181964169374,46,0.0,0.0,0.0,1.0,0.9363742282046028
16.0,1119.979214621589,961.7542238313598,149.92579989744777,147.23746852847722,18.404683566059653,48,0.015625,0.015625,0.0,1.0,0.9657296347096362
17.0,1395.4876458539613,674.508266118506,153.7590726405443,153.7590726405443,19.219884080068038,49,0.04411764705882353,0.04411764705882353,0.0,1.0,0.9527336786046826
18.0,0.0,0.0,152.66064684488123,152.66064684488123,19.082580855610153,48,0.04411764705882353,0.04411764705882353,0.0,1.0,0.9696820288756867
19.0,237.2166343768073,237.2166343768073,154.1294484538528,154.1294484538528,19.2661810567316,52,0.041666666666666664,0.041666666666666664,0.0,1.0,0.954874001803289
20.0,787.7560619855299,787.7560619855299,154.49982641199782,154.49982641199782,19.312478301499727,55,0.05263157894736842,0.039473684210526314,0.013157894736842105,1.0,0.9557436646728894
21.0,1368.5105660260397,1368.5105660260397,154.81500637157137,154.81500637157137,19.35187579644642,58,0.05,0.0375,0.0125,1.0,0.9501751343355623
22.0,1465.2985600623833,1157.8964456554922,154.90594884450155,154.90594884450158,19.363243605562698,60,0.06976744186046512,0.05813953488372093,0.011627906976744186,1.0,0.9561505379784718
23.0,1389.3664381047788,1091.9186348132139,148.98542725792512,148.98542725792512,18.62317840724064,65,0.07608695652173914,0.06521739130434782,0.010869565217391304,1.0,0.9559152215721031
24.0,1005.1646865097422,1005.1646865097422,148.0786649282986,148.0786649282986,18.509833116037324,66,0.10309278350515463,0.061855670103092786,0.041237113402061855,1.0,0.9636493395252985
25.0,1387.5951335228433,1112.7738514659889,149.43982735035874,149.43982735035874,18.679978418794843,68,0.12745098039215685,0.06862745098039216,0.058823529411764705,1.0,0.9502451203153247
26.0,627.8424596737931,627.8424596737931,149.0262779801476,149.02627798014757,18.628284747518446,71,0.14018691588785046,0.06542056074766354,0.07476635514018691,1.0,0.9515324251527967
27.0,120.75452045446936,120.75452045446936,149.53731833230918,149.5373183323092,18.69216479153865,69,0.1743119266055046,0.06422018348623854,0.11009174311926606,1.0,0.9491515799372408
28.0,458.93015182903014,458.93015182903014,149.1005911293044,149.1005911293044,18.63757389116305,70,0.17857142857142858,0.0625,0.11607142857142858,1.0,0.950331657684738
29.0,768.8964965496059,385.30545467262954,149.8019036577424,149.8019036577424,18.7252379572178,69,0.20175438596491227,0.07017543859649122,0.13157894736842105,1.0,0.9481563283564611
30.0,854.8561450110642,746.0264619359041,149.39636844316786,149.39636844316786,18.674546055395982,71,0.2231404958677686,0.09090909090909091,0.1322314049586777,1.0,0.9491115011045839
31.0,779.4962409527087,681.2337648446602,149.35071763746015,149.35071763746012,18.668839704682515,73,0.23809523809523808,0.09523809523809523,0.14285714285714285,1.0,0.9557153693651378
32.0,420.94830709093276,347.1409188920743,150.26276926399498,150.26276926399498,18.782846157999373,72,0.2692307692307692,0.1,0.16923076923076924,1.0,0.9405864835288934
33.0,292.82627642244177,292.82627642244177,149.60346844159676,149.6034684415968,18.7004335551996,70,0.29850746268656714,0.09701492537313433,0.20149253731343283,1.0,0.9544666429083003
34.0,1338.6648694636208,690.608812767769,150.68531759867784,150.68531759867787,18.835664699834734,67,0.34057971014492755,0.10869565217391304,0.2318840579710145,1.0,0.9375649285962755
35.0,943.0319473154649,675.873704937842,153.5881220683435,153.58812206834352,19.19851525854294,66,0.375,0.11805555555555555,0.2569444444444444,1.0,0.9440507916138007
36.0,715.4766094115402,629.6592068878531,153.92640020519363,153.92640020519363,19.240800025649204,67,0.38926174496644295,0.12080536912751678,0.2684563758389262,1.0,0.9351390195695195
37.0,1433.1760468468085,1110.3041642667683,151.58626691531157,151.58626691531157,18.948283364413946,69,0.3935483870967742,0.12258064516129032,0.2709677419354839,1.0,0.9667795926928145
38.0,242.7351233804306,242.7351233804306,153.20838222623317,153.20838222623317,19.151047778279146,68,0.3885350318471338,0.12101910828025478,0.267515923566879,1.0,0.9411548892336434
39.0,1213.539722526017,1213.539722526017,151.56073949830338,151.56073949830338,18.945092437287922,73,0.38414634146341464,0.11585365853658537,0.2682926829268293,1.0,0.9676823828538711
40.0,824.9289762093274,515.1911753769499,151.0780667544073,151.07806675440727,18.88475834430091,73,0.40350877192982454,0.12280701754385964,0.2807017543859649,1.0,0.9697641406799257
41.0,895.0244951549904,819.8792050625191,151.93999904078416,151.9399990407842,18.992499880098023,71,0.4228571428571429,0.12571428571428572,0.29714285714285715,1.0,0.9642819390496505
42.0,501.3322981213636,435.8090440228991,151.50292560972795,151.50292560972795,18.937865701215994,68,0.4438202247191011,0.12921348314606743,0.3146067415730337,1.0,0.9665972408567859
43.0,207.06470164808366,93.24235485799394,152.12474130225547,152.12474130225547,19.015592662781934,66,0.46408839779005523,0.13259668508287292,0.3314917127071823,1.0,0.963719103487412
44.0,102.56174523134874,102.56174523134874,151.00194093772782,151.00194093772782,18.875242617215978,64,0.47802197802197804,0.13186813186813187,0.34615384615384615,1.0,0.9770728714451171
45.0,229.75039956815525,229.75039956815525,151.10489013677937,151.10489013677937,18.888111267097422,64,0.489247311827957,0.12903225806451613,0.3602150537634409,1.0,0.9450228935830007
46.0,1953.7326248306192,1953.7326248306192,149.23837196164595,149.23837196164592,18.65479649520574,64,0.5,0.125,0.375,1.0,0.967592279651958
47.0,571.3314796014063,571.3314796014063,150.36369886382752,146.85777461833112,18.35722182729139,65,0.49743589743589745,0.12307692307692308,0.37435897435897436,1.0,0.9528197214175166
48.0,1081.395049435022,256.7729572934966,153.8814466213117,153.88144662131174,19.235180827663967,64,0.515,0.14,0.375,1.0,0.9461100580216245
49.0,479.4516940089233,321.23982876122295,152.37048399567533,152.37048399567536,19.04631049945942,64,0.5196078431372549,0.14705882352941177,0.37254901960784315,1.0,0.9639631108547663
50.0,1420.7064475173618,1170.919447585407,152.1549746528755,152.1549746528755,19.019371831609437,67,0.5235849056603774,0.1509433962264151,0.37264150943396224,1.0,0.9637411823324274
51.0,2012.6069031040493,1386.7527065756663,150.99487234948865,150.99487234948867,18.874359043686084,67,0.5342465753424658,0.1598173515981735,0.3744292237442922,1.0,0.9434068218180984
52.0,1006.5265686832226,784.7928597242869,149.16531759081042,149.1653175908104,18.6456646988513,67,0.5398230088495575,0.16371681415929204,0.37610619469026546,1.0,0.9638000374414717
53.0,1013.348324963734,1013.348324963734,150.9266285701277,150.92662857012775,18.86582857126597,67,0.537117903930131,0.1615720524017467,0.37554585152838427,1.0,0.9434447360701713
54.0,1105.1795028828535,1056.850049509973,148.95001032400998,148.95001032400995,18.618751290501244,68,0.5384615384615384,0.1623931623931624,0.37606837606837606,1.0,0.9663317498587307
55.0,242.79981924121495,242.79981924121495,151.6640474751486,151.66404747514864,18.95800593439358,65,0.5531914893617021,0.16170212765957448,0.39148936170212767,1.0,0.9280739988369886
56.0,1181.387065600999,1181.387065600999,149.03787714918465,149.03787714918468,18.629734643648085,65,0.5588235294117647,0.15966386554621848,0.39915966386554624,1.0,0.9631689492844233
